"lang"
{
	"Language"		"English"
		"tower_naturebuilder_treebeard"                                                   "Treebeard"
		"bird_ranged"                                                                     "Bird Ranged"
		"human_footman"                                                                   "Human Footman"
		"unit_abaddon"                                                                    "Abaddon"
		"unit_assassins"                                                                  "Assassin"
		"unit_chaos"                                                                      "The Random Guy"
		"unit_chen"                                                                       "The OP Guy at the end"
		"unit_deathprophet"                                                               "Deathprophet"
		"unit_donkey"                                                                     "Donkey"
		"unit_dragon"                                                                     "Dragonlord"
		"unit_drunken"                                                                    "Drunken"
		"unit_earthspirit"                                                                "Earthspirit"
		"unit_enchantress"                                                                "Enchantress"
		"unit_fatty"                                                                      "Fatty"
		"unit_gatling_sniper"                                                             "Gatling Guy"
		"unit_huskar"                                                                     "Berserker"
		"unit_hydra"                                                                      "Hydra"
		"unit_king"                                                                       "King"
		"unit_kunkka"                                                                     "Pirate"
		"unit_lightning_ball"                                                             "Fluffy Thing"
		"unit_little_fishy"                                                               "Little Fishy"
		"unit_necro"                                                                      "Necro"
		"unit_necro_replacement"														  "Bloody Berserker"
		"unit_not_lifestealer"                                                            "Not Lifestealer"
		"unit_ogre"                                                                       "Ogre"
		"unit_phantom"                                                                    "Phantom"
		"unit_predator"                                                                   "Predator"
		"unit_rubick"                                                                     "The Grand Magus"
		"unit_space_cow"                                                                  "Space Cow"
		"unit_techies"                                                                    "I'm out"
		"unit_templer"                                                                    "Templer"
		"unit_tidehunter"                                                                 "Tidehunter"
		"unit_tiny"                                                                       "Tiny"
		"unit_unicorn"                                                                    "Unicorn"
		"unit_zombie"                                                                     "Zombie"
		"elementalbuilder"                                                                "Elemental Builder"
		"naturebuilder"                                                                   "Nature Builder"
		"humanbuilder"                                                                    "Human Builder"
    
		"randombuilder"                                                                    "Random Builder"
		"assassinbuilder"                                                                    "Assassin Builder"
		"npc_dota_hero_ancient_apparition_barebones"                                      "Testbuilder"
		"tower_elementalbuilder_earthelemental"                                           "Earthelemental"
		"tower_elementalbuilder_earthgod"                                                 "Earthgod"
		"tower_elementalbuilder_earthwarrior"                                             "Earthwarrior"
		"tower_elementalbuilder_fireelemental"                                            "Fireelemental"
		"tower_elementalbuilder_firegod"                                                  "Firegod"
		"tower_elementalbuilder_firewarrior"                                              "Firewarrior"
		"tower_elementalbuilder_thunderelemental"                                         "Thunderelemental"
		"tower_elementalbuilder_thundergod"                                               "Thundergod"
		"tower_elementalbuilder_thunderwarrior"                                           "Thunderwarrior"
		"tower_elementalbuilder_voidelemental"                                            "Voidelemental"
		"tower_elementalbuilder_voidgod"                                                  "Voidgod"
		"tower_elementalbuilder_voidwarrior"                                              "Voidwarrior"
		"tower_elementalbuilder_waterelemental"                                           "Waterelemental"
		"tower_elementalbuilder_watergod"                                                 "Watergod"
		"tower_elementalbuilder_waterwarrior"                                             "Waterwarrior"
		"tower_humanbuilder_archbishop"                                                   "Archbishop"
		"tower_humanbuilder_archer"                                                       "Archer"
		"tower_humanbuilder_archmage"                                                     "Archmage"
		"tower_humanbuilder_blademaster"                                                  "Blademaster"
		"tower_humanbuilder_footman"                                                      "Footman"
		"tower_humanbuilder_futuristic_gyrocopter"                                        "Gyrocopter"
		"tower_humanbuilder_general"                                                      "General"
		"tower_humanbuilder_gunner"                                                       "Gunner"
		"tower_humanbuilder_gyrocopter_mk1"                                               "Gyrocopter Mk1"
		"tower_humanbuilder_gyrocopter_mk2"                                               "Gyrocopter Mk2"
		"tower_humanbuilder_hunter"                                                       "Hunter"
		"tower_humanbuilder_icewrack_grandmaster"                                         "Icewrack Grandmaster"
		"tower_humanbuilder_lieutenant"                                                   "Lieutenant"
		"tower_humanbuilder_mage"                                                         "Mage"
		"tower_humanbuilder_marksman"                                                     "Marksman"
		"tower_humanbuilder_militia"                                                      "Militia"
		"tower_humanbuilder_novice"                                                       "Novice"
		"tower_humanbuilder_paladin"                                                      "Paladin"
		"tower_humanbuilder_sharpshooter"                                                 "Sharpshooter"
		"tower_humanbuilder_soldier"                                                      "Soldier"
		"tower_humanbuilder_soundmaster"                                                  "Soundmaster"
		"tower_humanbuilder_spearman"                                                     "Spearman"
		"tower_humanbuilder_tactician"                                                    "Tactician"
		"tower_assassinbuilder_alpha_predator"                                                 "Alpha Predator"
		"tower_assassinbuilder_bloodknife"                                                     "Bloodknife"
		"tower_assassinbuilder_blood_drinker"                                                  "Blood Drinker"
		"tower_assassinbuilder_creeping_shadow"                                                "Creeping Shadow"
		"tower_assassinbuilder_dark_wraith"                                                    "Dark Wraith"
		"tower_assassinbuilder_jester"                                                         "Jester"
		"tower_assassinbuilder_lotus"                                                          "Lotus"
		"tower_assassinbuilder_mind_breaker"                                                   "Mind Breaker"
		"tower_assassinbuilder_mind_slicer"                                                    "Mind Slicer"
		"tower_assassinbuilder_mind_stealer"                                                   "Mind Stealer"
		"tower_assassinbuilder_nightshade"                                                     "Nightshade"
		"tower_assassinbuilder_nimble_edge"                                                    "Nimble Edge"
		"tower_assassinbuilder_shadow_hunter"                                                  "Shadow Hunter"
		"tower_assassinbuilder_silent_champion"                                                "Silent Champion"
		"tower_assassinbuilder_stealth_assassin"                                               "Stealth Assassin"
		"tower_assassinbuilder_timekeeper"                                                     "Timekeeper"
		"tower_assassinbuilder_trickster"                                                      "Trickster"
		"tower_assassinbuilder_zealot_scarab"                                                  "Zealot Scarab"

		// ******************** ABILITY MODIFIERS ********************
		"DOTA_Tooltip_isBoss"                                                             "IsBoss"
		"DOTA_Tooltip_isBoss_Description"                                                 ""

		"DOTA_Tooltip_boss_upgrade_health_stack"                                          "Boss Upgrade Health Stack"
		"DOTA_Tooltip_boss_upgrade_health_stack_Description"                              ""

		"DOTA_Tooltip_boss_upgrade_attack_stack"                                          "Boss Upgrade Attack Stack"
		"DOTA_Tooltip_boss_upgrade_attack_stack_Description"                              ""

		"DOTA_Tooltip_boss_upgrade_regen_stack"                                           "Boss Upgrade Regen Stack"
		"DOTA_Tooltip_boss_upgrade_regen_stack_Description"                               ""

		"DOTA_Tooltip_modifier_hoof_stomp"                                                "Hoof Stomp"
		"DOTA_Tooltip_modifier_hoof_stomp_Description"                                    ""

		"DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack"                         "Cold Attack"
		"DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack_Description"             ""

		"DOTA_Tooltip_modifier_fury_swipes_caster_datadriven"                             "Fury Swipes"
		"DOTA_Tooltip_modifier_fury_swipes_caster_datadriven_Description"                 ""

		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven"                             "Fury Swipes"
		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven_Description"                 ""

		"DOTA_Tooltip_modifier_corrosive_skin_debuff_datadriven"                          "Corrosive Skin"
		"DOTA_Tooltip_modifier_corrosive_skin_debuff_datadriven_Description"              ""

		"DOTA_Tooltip_modifier_vampiric_aura_buff"                                        "Vampiric Aura"
		"DOTA_Tooltip_modifier_vampiric_aura_buff_Description"                            ""

		"DOTA_Tooltip_aura_health_regen"                                                  "Aura Health Regen"
		"DOTA_Tooltip_aura_health_regen_Description"                                      ""

		"DOTA_Tooltip_health_regen"                                                       "Health Regen"
		"DOTA_Tooltip_health_regen_Description"                                           ""

		"DOTA_Tooltip_modifier_healing_aura"                                              "Healing Aura"
		"DOTA_Tooltip_modifier_healing_aura_Description"                                  ""

		"DOTA_Tooltip_modifier_fade"                                                      "Fade"
		"DOTA_Tooltip_modifier_fade_Description"                                          ""

		"DOTA_Tooltip_modifier_vladmir_aura"                                              "Vladmir Aura"
		"DOTA_Tooltip_modifier_vladmir_aura_Description"                                  ""

		"DOTA_Tooltip_modifier_freezing_field_debuff"                                     "Freezing Field Chill"
		"DOTA_Tooltip_modifier_freezing_field_debuff_Description"                         ""

		"DOTA_Tooltip_modifier_guardian_angel"                                            "Guardian Angel"
		"DOTA_Tooltip_modifier_guardian_angel_Description"                                ""

		"DOTA_Tooltip_modifier_tactical_aura"                                             "Tactical Aura"
		"DOTA_Tooltip_modifier_tactical_aura_Description"                                 ""

		"DOTA_Tooltip_modifier_elementalbuilder_passive"  								"Elemental Alignment"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_description"  					"Gain bonuses and penalties depending on the elemental gold balance of your legion. Towers increase their element stacks but reduce another one.\n Water decreases Fire.\n Thunder decreases Water.\n Earth decreases Void.\n Fire decreases Earth.\n Void decreases Thunder.\n Towertypes:\n God +10/-4.\n Warrior +6/-3.\n Elemental +4/-2.\n Bender +2/-1."

		"DOTA_Tooltip_modifier_elementalbuilder_passive_elemental_harmony_lua"						"Elemental Harmony"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_elemental_harmony_lua_Description"			"Your totality eclipses the cosm!"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_void_lua"									"Void Surplus"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_void_lua_Description"						"Incoming damage reduced by %fMODIFIER_PROPERTY_TOOLTIP%%%"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_void_negative_lua"							"Void Deficiency"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_void_negative_lua_Description"				"Incoming damage increased by %fMODIFIER_PROPERTY_TOOLTIP%%%"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_water_lua"									"Water Surplus"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_water_lua_Description"						"Attack speed increased by %fMODIFIER_PROPERTY_TOOLTIP%"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_water_negative_lua"							"Water Deficiency"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_water_negative_lua_Description"				"Attack speed decreased by %fMODIFIER_PROPERTY_TOOLTIP%"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_fire_lua"									"Fire Surplus"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_fire_lua_Description"						"Gaining a %fMODIFIER_PROPERTY_TOOLTIP%%% bonus to attack damage"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_fire_negative_lua"							"Fire Deficiency"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_fire_negative_lua_Description"				"Suffering a %fMODIFIER_PROPERTY_TOOLTIP%%% penalty to attack damage"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_earth_lua"									"Earth Surplus"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_earth_lua_Description"						"Gaining %fMODIFIER_PROPERTY_TOOLTIP% armor"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_earth_negative_lua"							"Earth Deficiency"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_earth_negative_lua_Description"				"Losing %fMODIFIER_PROPERTY_TOOLTIP% armor"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_thunder_lua"								"Thunder Surplus"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_thunder_lua_Description"					"Incoming spell damage reduced and outgoing spell damage increased by %fMODIFIER_PROPERTY_TOOLTIP%%%"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_thunder_negative_lua"						"Thunder Deficiency"
		"DOTA_Tooltip_modifier_elementalbuilder_passive_thunder_negative_lua_Description"			"Incoming spell damage increased and outgoing spell damage decreased by %fMODIFIER_PROPERTY_TOOLTIP%%%"

		"DOTA_Tooltip_modifier_naturebuilder_passive_deathknell_lua"								"Death Knell"
		"DOTA_Tooltip_modifier_naturebuilder_passive_deathknell_lua_Description"					"Whenever one of your units dies, it heals %fMODIFIER_PROPERTY_TOOLTIP%%% of its HP to a nearby ally and deals %fMODIFIER_PROPERTY_TOOLTIP%%% of its HP in magic damage to a nearby target."  

		"DOTA_Tooltip_modifier_humanbuilder_passive_lua"											"Additional Food"
		"DOTA_Tooltip_modifier_humanbuilder_passive_lua_Description"					"Gain %fMODIFIER_PROPERTY_TOOLTIP% additional food per round.\nCannot upgrade food manually."  

		"DOTA_Tooltip_modifier_attack_normal_lua"													"Normal Attack"
		"DOTA_Tooltip_modifier_attack_normal_lua_Description"										"Deal 80%% to Light\nDeal 125%% to Medium\nDeal 100%% to Heavy"
		"DOTA_Tooltip_modifier_attack_pierce_lua"													"Pierce Attack"
		"DOTA_Tooltip_modifier_attack_pierce_lua_Description"										"Deal 125%% to Light\nDeal 100%% to Medium\nDeal 80%% to Heavy"
		"DOTA_Tooltip_modifier_attack_arcane_lua"													"Arcane Attack"
		"DOTA_Tooltip_modifier_attack_arcane_lua_Description"										"Deal 100%% to Light\nDeal 80%% to Medium\nDeal 150%% to Heavy"
		"DOTA_Tooltip_modifier_defend_light_lua"													"Light Defense"
		"DOTA_Tooltip_modifier_defend_light_lua_Description"										"Take 80%% from Normal\nTake 125%% from Pierce\nTake 100%% from Arcane"
		"DOTA_Tooltip_modifier_defend_medium_lua"													"Medium Defense"
		"DOTA_Tooltip_modifier_defend_medium_lua_Description"										"Take 125%% from Normal\nTake 100%% from Pierce\nTake 80%% from Arcane"
		"DOTA_Tooltip_modifier_defend_heavy_lua"													"Heavy Defense"
		"DOTA_Tooltip_modifier_defend_heavy_lua_Description"										"Take 100%% from Normal\nTake 80%% from Pierce\nTake 125%% from Arcane"

		
		"DOTA_Tooltip_modifier_assassinbuilder_jinada_slow"												"Jinada Slow"
		"DOTA_Tooltip_modifier_assassinbuilder_jinada_slow_Description"									""
		
		"DOTA_Tooltip_modifier_assassinbuilder_weaken_target"											"Weaken"
		"DOTA_Tooltip_modifier_assassinbuilder_weaken_target_Description"								"Reduced armor."
		
		"DOTA_Tooltip_modifier_assassinbuilder_soul_rend_debuff"                               			"Soul Rend"
		"DOTA_Tooltip_modifier_assassinbuilder_soul_rend_debuff_Description"                   			"Silenced. All units attacking this unit has true strike. This unit takes extra damage. All attacks against this unit will crit."

		"DOTA_Tooltip_modifier_assassinbuilder_spiked_carapace_buff"                           			"Spiked Carapace"
		"DOTA_Tooltip_modifier_assassinbuilder_spiked_carapace_buff_Description"               			"Attacking this unit will stun the attacker."

		"DOTA_Tooltip_modifier_assassinbuilder_spiked_carapace_stun"                           			"Spiked Carapace"
		"DOTA_Tooltip_modifier_assassinbuilder_spiked_carapace_stun_Description"               			"Stunned from attacking a unit with Spiked Carapace."
		
		"DOTA_Tooltip_modifier_assassinbuilder_snot_spray"												"Snot Spray"
		"DOTA_Tooltip_modifier_assassinbuilder_snot_spray_Description"									"Armor reduced. Attack and movement speed slowed. Taking damage every second."
		
		"DOTA_Tooltip_modifier_assassinbuilder_frenzy"													"Frenzy"
		"DOTA_Tooltip_modifier_assassinbuilder_frenzy_Description"										"Attack and movement speed increased."
		
		"DOTA_Tooltip_modifier_assassinbuilder_frenzy_cooldown"											"Frenzy Cooldown"
		"DOTA_Tooltip_modifier_assassinbuilder_frenzy_cooldown_Description"								"%fMODIFIER_PROPERTY_TOOLTIP% rounds left on Frenzy cooldown."

		// ******************** ITEM MODIFIERS ********************
		"DOTA_Tooltip_modifier_item_shield"                                               "Item Shield"
		"DOTA_Tooltip_modifier_item_shield_Description"                                   ""


		// ******************** ABILITIES ********************
		"DOTA_Tooltip_ability_ability_empty_1"                                            "Empty Ability Q"
		"DOTA_Tooltip_ability_ability_empty_1_Description"                                "Just taking up space."

		"DOTA_Tooltip_ability_ability_empty_2"                                            "Empty Ability W"
		"DOTA_Tooltip_ability_ability_empty_2_Description"                                "Just taking up space."

		"DOTA_Tooltip_ability_ability_empty_3"                                            "Empty Ability E"
		"DOTA_Tooltip_ability_ability_empty_3_Description"                                "Just taking up space."

		"DOTA_Tooltip_ability_beeing_dire_boss"                                           "Is Dire Boss"
		"DOTA_Tooltip_ability_beeing_dire_boss_Description"                               ""

		"DOTA_Tooltip_ability_beeing_radiant_boss"                                        "Is Radiant Boss"
		"DOTA_Tooltip_ability_beeing_radiant_boss_Description"                            ""

		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender"                         "Spawn Earthbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_Description"             "Attack: Normal/Heavy\nSkills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_damage_tooltip"      "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_speed_tooltip"       "ATK RATE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_range_tooltip"       "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_health_tooltip"          "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_armor_tooltip"           "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_food_cost"               "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender"                          "Spawn Firebender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_Description"              "Attack: Arcane/Light\nSkills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_speed_tooltip"        "ATK RATE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_food_cost"                "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender"                       "Spawn Thunderbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_Description"           "Attack: Arcane/Light\nSkills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_damage_tooltip"    "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_speed_tooltip"     "ATK RATE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_range_tooltip"     "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_health_tooltip"        "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_armor_tooltip"         "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_food_cost"             "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender"                          "Spawn Voidbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_Description"              "Attack: Arcane/Medium\nSkills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_speed_tooltip"        "ATK RATE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_food_cost"                "FOOD COST:"
