"lang"
{
	"Language"		"Spanish"
		"DOTA_Tooltip_modifier_fury_swipes_caster_datadriven_Description"                 ""

		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven"                             "golpetazo furioso"
		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven_Description"                 ""

		"DOTA_Tooltip_modifier_corrosive_skin_debuff_datadriven"                          "piel corrosiva"
		"DOTA_Tooltip_modifier_corrosive_skin_debuff_datadriven_Description"              ""

		"DOTA_Tooltip_modifier_vampiric_aura_buff"                                        "aura vampirica"
		"DOTA_Tooltip_modifier_vampiric_aura_buff_Description"                            ""

		"DOTA_Tooltip_aura_health_regen"                                                  "aura de regeneracion de vida"
		"DOTA_Tooltip_aura_health_regen_Description"                                      ""

		"DOTA_Tooltip_health_regen"                                                       "regeneracion de vida"
		"DOTA_Tooltip_health_regen_Description"                                           ""


		// ******************** ITEM MODIFIERS ********************
		"DOTA_Tooltip_modifier_item_shield"                                               "objeto escudo"
		"DOTA_Tooltip_modifier_item_shield_Description"                                   ""


		// ******************** ABILITIES ********************
		"DOTA_Tooltip_ability_being_dire_king"                                           "being Dire Boss"
		"DOTA_Tooltip_ability_being_dire_king_Description"                               ""

		"DOTA_Tooltip_ability_being_radiant_king"                                        "being Radiant Boss"
		"DOTA_Tooltip_ability_being_radiant_king_Description"                            ""

		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender"                         "invocar Earthbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_Description"             "Skills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_damage_tooltip"      "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_speed_tooltip"       "ATK SPEED:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_atk_range_tooltip"       "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_health_tooltip"          "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_armor_tooltip"           "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_earthbender_food_cost"               "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender"                          "invocar Firebender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_Description"              "Skills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_speed_tooltip"        "ATK SPEED:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_firebender_food_cost"                "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender"                       "invocar Thunderbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_Description"           "Skills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_damage_tooltip"    "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_speed_tooltip"     "ATK SPEED:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_atk_range_tooltip"     "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_health_tooltip"        "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_armor_tooltip"         "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_thunderbender_food_cost"             "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender"                          "invocar Voidbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_Description"              "Skills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_speed_tooltip"        "ATK SPEED:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_voidbender_food_cost"                "FOOD COST:"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender"                         "invocar Waterbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_Description"             "Skills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_damage_tooltip"      "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_speed_tooltip"       "ATK SPEED:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_range_tooltip"       "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_health_tooltip"          "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_armor_tooltip"           "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_food_cost"               "FOOD COST:"

		"DOTA_Tooltip_ability_increase_food_limit"                                        "aumentar el limite de comida"
		"DOTA_Tooltip_ability_increase_food_limit_Description"                            "aumentar el limite de comida maxima."
		"DOTA_Tooltip_ability_increase_food_limit_tango_cost"                             "TANGO COST:"
		"DOTA_Tooltip_ability_increase_food_limit_limit_increament"                       "LIMIT INCREAMENT:"

		"DOTA_Tooltip_ability_send_incomeunit_centaur"                                    "enviar Centaur"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_Description"                        "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_tango_cost"                         "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_income"                             "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ghost"                                      "enviar Ghost"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_golem"                                      "enviar Golem"
		"DOTA_Tooltip_ability_send_incomeunit_golem_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_golem_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_golem_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_harpy"                                      "enviar Harpy"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman"                          "enviar troll chaman de las colinas"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_Description"              "Skills: aura de regeneracion"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_tango_cost"               "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_income"                   "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior"                         "enviar troll guerrero de las colinas"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_Description"             "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_tango_cost"              "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_income"                  "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_kobold"                                     "enviar Kobold"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_Description"                         "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_little_centaur"                             "enviar peque�o Centaur"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_Description"                 "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_tango_cost"                  "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_income"                      "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_little_wolf"                                "enviar peque�o lobo"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_Description"                    "Skills: golpe critico"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_tango_cost"                     "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_income"                         "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior"                               "enviar ogro guerrero"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_Description"                   "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_tango_cost"                    "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_income"                        "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_satyr"                                      "enviar Satyr"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_wolf"                                       "enviar lobo"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_Description"                           "Skills: golpe critico"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem"                              "enviar golem ancestral"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_Description"                  "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_tango_cost"                   "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_income"                       "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_beast"                                      "enviar bestia"
		"DOTA_Tooltip_ability_send_incomeunit_beast_Description"                          "Skills: Aura de presteza"
		"DOTA_Tooltip_ability_send_incomeunit_beast_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_beast_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_big_lizard"                                 "enviar gran lagarto"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_Description"                     "Skills: Armadura + aura de regeneracion de vida"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_tango_cost"                      "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_income"                          "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_black_drake"                                "enviar Drake negro"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_Description"                    "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_tango_cost"                     "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_income"                         "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_diablo"                                     "enviar Diablo"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_Description"                         "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem"                                 "enviar golem de carne"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_Description"                     "Skills: detencion de corazones"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_tango_cost"                      "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_income"                          "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hulk"                                       "enviar Hulk"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_Description"                           "Skills: aura de da�o"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_jellyfish"                                  "enviar Jellyfish"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_Description"                      "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_tango_cost"                       "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_income"                           "INCOME:"
		
		"DOTA_Tooltip_ability_send_incomeunit_lizard"                                     "enviar lagarto"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_Description"                         "Skills: Aura de armadura"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_rosh"                                       "enviar Rosh"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_Description"                           "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_vulture"                                    "enviar Vulture"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_Description"                        "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_tango_cost"                         "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_income"                             "INCOME:"
		
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf"                                  "enviar hokbre lobo"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_Description"                      "Skills: golpe critico"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_tango_cost"                       "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_income"                           "INCOME:"

		"DOTA_Tooltip_ability_main_building_tango_collector_food_cost"                    "costo de comida:"

		"DOTA_Tooltip_ability_agressive_boar_nethertoxin"                                 "jabali agresivo Nethertoxin"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_Description"                     ""
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_bonus_damage"                    "bonus de da�o:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_non_hero_damage_pct"             "NON HERO DAMAGE PCT:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_max_damage_tooltip"              "da�o maximo:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_80"                  "da�o a heroe 80:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_60"                  "da�o a heroe 60:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_40"                  "da�o a heroe 40:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_20"                  "da�o a heroe 20:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_base"               "da�o base a creep:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_80"                 "da�o a creep 80:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_60"                 "da�o a creeP 60:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_40"                 "da�o a creep 40:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_20"                 "da�o a creep 20:"

		"DOTA_Tooltip_ability_brood_spawn_spiderlings"                                    "brood invoca ara�as"
		"DOTA_Tooltip_ability_brood_spawn_spiderlings_Description"                        ""
		"DOTA_Tooltip_ability_brood_spawn_spiderlings_duration"                           "duracion:"

		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven"                              "Centauro Hoof pisoton Datadriven"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_Description"                  ""
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_radius"                       "radio:"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_stun_duration"                "STUN DURAcion:"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_stomp_damage"                 "da�o por pisoton:"

		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave"                             "Centaur Warrunner gran hednidura"
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_Description"                 ""
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_great_cleave_radius"         "radio de gran hendidura:"
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_great_cleave_damage"         "da�o de gran hendidura:"

		"DOTA_Tooltip_ability_flower_treant_skadi"                                        "Flower Treant Skadi"
		"DOTA_Tooltip_ability_flower_treant_skadi_Description"                            ""
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_movement_speed"                    "velocidad de movimiento frio:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_attack_speed"                      "velocidad de atque frio:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_duration_melee"                    "duracion de frio a melee:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_duration_ranged"                   "duracion de frio a rango:"

		"DOTA_Tooltip_ability_hyena_nethertoxin"                                          "Hyena Nethertoxin"
		"DOTA_Tooltip_ability_hyena_nethertoxin_Description"                              ""
		"DOTA_Tooltip_ability_hyena_nethertoxin_bonus_damage"                             "bonificacion de da�o:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_non_hero_damage_pct"                      "NON HERO DAMAGE PCT:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_max_damage_tooltip"                       "da�o maximo:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_80"                           "da�o a heroe 80:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_60"                           "da�o a heroe 60:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_40"                           "da�o a heroe 40:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_20"                           "da�o a heroe 20:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_base"                        "da�o base a creep:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_80"                          "da�o a creep 80:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_60"                          "da�o a creep 60:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_40"                          "da�o a creep 40:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_20"                          "da�o a creep 20:"

		"DOTA_Tooltip_ability_iron_bear_fury_swipes"                                      "oso de hierro golpetazos furiosos"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_Description"                          ""
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_bonus_reset_time"                     "BONUS tiempo de reseteo:"
